date,block,plot,bg,sp.type,sp.diam.1,sp.diam.2,sp.tillers,sp.seeds.per.tiller,notes
2024-04-29,2,1,A low,phyto,,,NA,NA,dead
2024-04-29,2,2,S_s high,phyto,14,11,31,25,
2024-04-29,2,3,control,phyto,,,NA,NA,
2024-04-29,2,4,control,phyto,19,14,18,9,
2024-04-29,2,5,S_P high,phyto,,,,,dead
2024-04-29,2,5,S_P high,big,,,,,dead
2024-04-29,2,5,S_P high,big,15,11,48,58,
2024-04-29,2,5,S_P high,med,4,3,3,16,
2024-04-29,2,5,S_P high,med,5,4,4,18,
2024-04-29,2,5,S_P high,med,7,10,28,34,
2024-04-29,2,5,S_P high,med,13,12,33,31,
2024-04-29,2,5,S_P high,med,4,4,5,5,
2024-04-29,2,5,S_P high,med,13,13,34,14,
2024-04-29,2,5,S_P high,med,6,7,5,16,
2024-04-29,2,5,S_P high,med,,,,,dead
2024-04-29,2,5,S_P high,med,,,,,dead
2024-04-29,2,5,S_P high,med,,,,,dead
2024-04-29,2,6,A high,phyto,25,18,24,20,
2024-04-29,2,7,S_P low,phyto,18,22,37,17,
2024-04-29,2,7,S_P low,big,23,25,42,38,
2024-04-29,2,7,S_P low,med,25,21,33,36,
2024-04-29,2,7,S_P low,med,14,17,13,13,
2024-04-29,2,7,S_P low,med,16,13,21,18,
2024-04-29,2,7,S_P low,med,,,,,dead
2024-04-29,2,7,S_P low,med,,,,,dead
2024-04-29,2,8,S_s low,phyto,22,16,45,22,
2024-04-29,2,9,S_P high,big,12,10,21,31,* no phytometer
2024-04-29,2,9,S_P high,big,,,,,dead
2024-04-29,2,9,S_P high,med,8,7,13,15,
2024-04-29,2,9,S_P high,med,10,11,23,49,
2024-04-29,2,9,S_P high,med,7,9,11,34,
2024-04-29,2,9,S_P high,med,8,7,14,30,
2024-04-29,2,9,S_P high,med,8,9,17,23,
2024-04-29,2,9,S_P high,med,9,9,29,22,
2024-04-29,2,9,S_P high,med,9,8,35,23,
2024-04-29,2,9,S_P high,med,10,8,16,25,
2024-04-29,2,9,S_P high,med,7,7,14,26,
2024-04-29,2,9,S_P high,med,10,8,19,26,
2024-04-29,2,10,S_P high,big,26,23,49,32,* no phytometer
2024-04-29,2,10,S_P high,big,18,15,41,26,
2024-04-29,2,10,S_P high,med,11,11,14,28,
2024-04-29,2,10,S_P high,med,10,12,11,22,
2024-04-29,2,10,S_P high,med,10,9,11,20,
2024-04-29,2,10,S_P high,med,12,9,4,23,
2024-04-29,2,10,S_P high,med,11,9,17,15,
2024-04-29,2,10,S_P high,med,16,21,26,16,
2024-04-29,2,10,S_P high,med,17,15,20,17,
2024-04-29,2,10,S_P high,med,,,,,dead
2024-04-29,2,10,S_P high,med,,,,,dead
2024-04-29,2,10,S_P high,med,,,,,dead
2024-04-29,3,1,control,phyto,,,,,
2024-04-29,3,2,A high,phyto,,,,,
2024-04-29,3,3,A low,phyto,,,,,
2024-04-29,3,4,S_s high,phyto,,,,,
2024-04-29,3,5,S_P high,phyto,,,,,
2024-04-29,3,5,S_P high,big,,,,,
2024-04-29,3,5,S_P high,big,,,,,
2024-04-29,3,5,S_P high,med,,,,,
2024-04-29,3,5,S_P high,med,,,,,
2024-04-29,3,5,S_P high,med,,,,,
2024-04-29,3,5,S_P high,med,,,,,
2024-04-29,3,5,S_P high,med,,,,,
2024-04-29,3,5,S_P high,med,,,,,
2024-04-29,3,5,S_P high,med,,,,,
2024-04-29,3,5,S_P high,med,,,,,
2024-04-29,3,5,S_P high,med,,,,,
2024-04-29,3,5,S_P high,med,,,,,
2024-04-29,3,6,S_s low,phyto,,,,,
2024-04-29,3,7,S_P low,phyto,,,,,
2024-04-29,3,7,S_P low,big,,,,,
2024-04-29,3,7,S_P low,med,,,,,
2024-04-29,3,7,S_P low,med,,,,,
2024-04-29,3,7,S_P low,med,,,,,
2024-04-29,3,7,S_P low,med,,,,,
2024-04-29,3,7,S_P low,med,,,,,
2024-04-29,3,8,control,phyto,,,,,
2024-04-29,3,9,S_P high,big,,,,,Gopher damage to background SP
2024-04-29,3,9,S_P high,big,,,,,
2024-04-29,3,9,S_P high,med,,,,,
2024-04-29,3,9,S_P high,med,,,,,
2024-04-29,3,9,S_P high,med,,,,,
2024-04-29,3,9,S_P high,med,,,,,
2024-04-29,3,9,S_P high,med,,,,,
2024-04-29,3,9,S_P high,med,,,,,
2024-04-29,3,9,S_P high,med,,,,,
2024-04-29,3,9,S_P high,med,,,,,
2024-04-29,3,9,S_P high,med,,,,,
2024-04-29,3,9,S_P high,med,,,,,
2024-04-29,3,10,S_P high,big,,,,,
2024-04-29,3,10,S_P high,big,,,,,
2024-04-29,3,10,S_P high,med,,,,,
2024-04-29,3,10,S_P high,med,,,,,
2024-04-29,3,10,S_P high,med,,,,,
2024-04-29,3,10,S_P high,med,,,,,
2024-04-29,3,10,S_P high,med,,,,,
2024-04-29,3,10,S_P high,med,,,,,
2024-04-29,3,10,S_P high,med,,,,,
2024-04-29,3,10,S_P high,med,,,,,
2024-04-29,3,10,S_P high,med,,,,,
2024-04-29,3,10,S_P high,med,,,,,
2024-04-29,4,1,A high,phyto,10,10,5,23,
2024-04-29,4,2,S_s low,phyto,12,14,1,im,
2024-04-29,4,3,S_s high,phyto,12,7,10,21,
2024-04-29,4,4,A low,phyto,9,7,2,im,
2024-04-29,4,5,S_P low,phyto,9,11,13,35,
2024-04-29,4,5,S_P low,big,16,13,27,32,
2024-04-29,4,5,S_P low,med,7,6,4,15,
2024-04-29,4,5,S_P low,med,8,8,15,24,
2024-04-29,4,5,S_P low,med,7,8,6,22,
2024-04-29,4,5,S_P low,med,6,7,5,11,
2024-04-29,4,5,S_P low,med,10,9,13,20,
2024-04-29,4,6,S_P high,phyto,15,11,17,38,
2024-04-29,4,6,S_P high,big,23,18,23,28,
2024-04-29,4,6,S_P high,big,20,18,30,27,
2024-04-29,4,6,S_P high,med,14,10,7,11,
2024-04-29,4,6,S_P high,med,12,10,9,12,
2024-04-29,4,6,S_P high,med,16,13,13,18,
2024-04-29,4,6,S_P high,med,14,12,7,40,
2024-04-29,4,6,S_P high,med,12,7,5,15,
2024-04-29,4,6,S_P high,med,7,5,1,17,
2024-04-29,4,6,S_P high,med,10,8,1,im,
2024-04-29,4,6,S_P high,med,12,12,9,11,
2024-04-29,4,6,S_P high,med,10,8,7,11,
2024-04-29,4,6,S_P high,med,,,,,dead
2024-04-29,4,7,control,phyto,22,19,24,20,
2024-04-29,4,8,control,phyto,9,8,8,17,
2024-04-29,4,9,S_P high,big,26,22,6,24,* no phytometer
2024-04-29,4,9,S_P high,big,19,20,13,16,
2024-04-29,4,9,S_P high,med,9,6,1,5,
2024-04-29,4,9,S_P high,med,14,9,0,NA,
2024-04-29,4,9,S_P high,med,16,12,10,22,
2024-04-29,4,9,S_P high,med,8,7,2,13,
2024-04-29,4,9,S_P high,med,13,9,6,17,
2024-04-29,4,9,S_P high,med,10,9,2,20,
2024-04-29,4,9,S_P high,med,10,10,4,17,
2024-04-29,4,9,S_P high,med,7,6,3,18,
2024-04-29,4,9,S_P high,med,14,14,16,44,
2024-04-29,4,9,S_P high,med,,,,,dead
2024-04-29,4,10,S_P high,big,15,18,24,16,* no phytometer
2024-04-29,4,10,S_P high,big,18,16,23,19,
2024-04-29,4,10,S_P high,med,7,7,11,20,
2024-04-29,4,10,S_P high,med,6,7,8,13,
2024-04-29,4,10,S_P high,med,7,10,5,10,
2024-04-29,4,10,S_P high,med,8,7,1,im,
2024-04-29,4,10,S_P high,med,10,10,9,23,
2024-04-29,4,10,S_P high,med,11,11,12,18,
2024-04-29,4,10,S_P high,med,6,6,7,12,
2024-04-29,4,10,S_P high,med,8,6,7,16,
2024-04-29,4,10,S_P high,med,16,15,17,23,
2024-04-29,4,10,S_P high,med,,,,,dead
2024-04-29,5,1,S_s high,phyto,16,12,2,17,
2024-04-29,5,2,A low,phyto,18,17,9,23,
2024-04-29,5,3,S_P high,phyto,10,11,7,im,
2024-04-29,5,3,S_P high,big,15,16,21,16,
2024-04-29,5,3,S_P high,big,19,17,12,25,
2024-04-29,5,3,S_P high,med,15,14,7,13,
2024-04-29,5,3,S_P high,med,9,11,11,15,
2024-04-29,5,3,S_P high,med,12,11,4,10,
2024-04-29,5,3,S_P high,med,2,2,1,im,
2024-04-29,5,3,S_P high,med,12,12,12,14,
2024-04-29,5,3,S_P high,med,15,17,16,16,
2024-04-29,5,3,S_P high,med,10,8,9,12,
2024-04-29,5,3,S_P high,med,7,5,1,14,
2024-04-29,5,3,S_P high,med,13,10,5,im,
2024-04-29,5,3,S_P high,med,14,12,10,11,
2024-04-29,5,4,S_P low,phyto,8,9,1,10,
2024-04-29,5,4,S_P low,big,23,20,9,15,
2024-04-29,5,4,S_P low,med,16,13,3,17,
2024-04-29,5,4,S_P low,med,9,7,1,im,
2024-04-29,5,4,S_P low,med,16,12,2,10,
2024-04-29,5,4,S_P low,med,,,,,dead
2024-04-29,5,4,S_P low,med,,,,,dead
2024-04-29,5,5,S_s low,phyto,16,11,2,16,
2024-04-29,5,6,control,phyto,19,17,16,17,
2024-04-29,5,7,A high,phyto,18,13,6,12,
2024-04-29,5,8,control,phyto,10,7,3,13,
2024-04-29,5,9,S_P high,big,30,23,36,30,* no phytometer
2024-04-29,5,9,S_P high,big,20,14,11,27,
2024-04-29,5,9,S_P high,med,8,10,5,10,
2024-04-29,5,9,S_P high,med,16,11,22,28,
2024-04-29,5,9,S_P high,med,16,14,18,28,
2024-04-29,5,9,S_P high,med,7,8,0,NA,
2024-04-29,5,9,S_P high,med,12,11,4,12,
2024-04-29,5,9,S_P high,med,13,12,14,28,
2024-04-29,5,9,S_P high,med,10,13,13,45,
2024-04-29,5,9,S_P high,med,8,7,1,im,
2024-04-29,5,9,S_P high,med,12,11,8,18,
2024-04-29,5,9,S_P high,med,20,17,10,16,
2024-04-29,5,10,S_P high,big,19,17,17,47,* no phytometer
2024-04-29,5,10,S_P high,big,23,20,22,16,
2024-04-29,5,10,S_P high,med,11,10,1,im,
2024-04-29,5,10,S_P high,med,16,14,8,18,
2024-04-29,5,10,S_P high,med,17,18,8,38,
2024-04-29,5,10,S_P high,med,2,4,1,im,
2024-04-29,5,10,S_P high,med,10,9,5,20,
2024-04-29,5,10,S_P high,med,15,14,17,15,
2024-04-29,5,10,S_P high,med,14,9,6,15,
2024-04-29,5,10,S_P high,med,11,10,8,18,
2024-04-29,5,10,S_P high,med,13,11,10,14,
2024-04-29,5,10,S_P high,med,14,14,4,21,
2024-04-29,6,1,A low,phyto,12,12,9,13,
2024-04-29,6,2,A high,phyto,14,13,1,im,
2024-04-29,6,3,S_s low,phyto,12,15,12,15,
2024-04-29,6,4,control,phyto,12,13,8,15,
2024-04-29,6,5,S_s high,phyto,15,16,13,18,
2024-04-29,6,6,S_P low,phyto,21,17,17,7,
2024-04-29,6,6,S_P low,big,32,32,32,18,
2024-04-29,6,6,S_P low,med,22,18,10,11,
2024-04-29,6,6,S_P low,med,20,16,5,18,
2024-04-29,6,6,S_P low,med,11,12,7,20,
2024-04-29,6,6,S_P low,med,5,6,0,NA,
2024-04-29,6,6,S_P low,med,21,15,14,11,
2024-04-29,6,7,control,phyto,26,24,36,27,
2024-04-29,6,8,S_P high,phyto,15,12,11,22,
2024-04-29,6,8,S_P high,big,21,18,15,40,
2024-04-29,6,8,S_P high,big,19,17,10,24,
2024-04-29,6,8,S_P high,med,16,13,14,21,
2024-04-29,6,8,S_P high,med,11,11,18,64,
2024-04-29,6,8,S_P high,med,16,13,13,12,
2024-04-29,6,8,S_P high,med,15,10,6,10,
2024-04-29,6,8,S_P high,med,3,3,1,15,
2024-04-29,6,8,S_P high,med,13,12,9,24,
2024-04-29,6,8,S_P high,med,8,10,8,21,
2024-04-29,6,8,S_P high,med,12,8,5,11,
2024-04-29,6,8,S_P high,med,7,8,4,12,
2024-04-29,6,8,S_P high,med,18,14,18,45,
2024-04-29,6,9,S_P high,big,30,30,57,15,* no phytometer
2024-04-29,6,9,S_P high,big,28,29,73,32,
2024-04-29,6,9,S_P high,med,6,5,4,24,
2024-04-29,6,9,S_P high,med,7,6,5,19,
2024-04-29,6,9,S_P high,med,10,9,5,24,
2024-04-29,6,9,S_P high,med,14,15,14,17,
2024-04-29,6,9,S_P high,med,17,15,13,18,
2024-04-29,6,9,S_P high,med,12,12,8,26,
2024-04-29,6,9,S_P high,med,19,17,17,21,
2024-04-29,6,9,S_P high,med,17,16,12,16,
2024-04-29,6,9,S_P high,med,14,14,8,25,
2024-04-29,6,9,S_P high,med,,,,,dead
2024-04-29,6,10,S_P high,big,28,29,38,21,is where med would be but very small 
2024-04-29,6,10,S_P high,big,22,21,37,14,* no phytometer
2024-04-29,6,10,S_P high,med,8,10,1,im,
2024-04-29,6,10,S_P high,med,7,6,3,11,
2024-04-29,6,10,S_P high,med,15,15,10,15,
2024-04-29,6,10,S_P high,med,12,13,9,21,
2024-04-29,6,10,S_P high,med,13,11,12,31,
2024-04-29,6,10,S_P high,med,18,15,15,15,
2024-04-29,6,10,S_P high,med,17,16,23,16,
2024-04-29,6,10,S_P high,med,13,11,14,19,
2024-04-29,6,10,S_P high,med,16,14,8,18,
2024-04-29,6,10,S_P high,med,,,,,dead
2024-04-30,7,1,S_P high,phyto,15,14,12,16,
2024-04-30,7,1,S_P high,big,23,25,43,47,
2024-04-30,7,1,S_P high,big,16,19,24,16,
2024-04-30,7,1,S_P high,med,14,15,19,22,
2024-04-30,7,1,S_P high,med,16,14,26,52,
2024-04-30,7,1,S_P high,med,23,19,39,22,
2024-04-30,7,1,S_P high,med,13,14,21,21,
2024-04-30,7,1,S_P high,med,11,14,10,22,
2024-04-30,7,1,S_P high,med,17,21,16,12,
2024-04-30,7,1,S_P high,med,12,13,14,23,
2024-04-30,7,1,S_P high,med,6,9,7,23,
2024-04-30,7,1,S_P high,med,19,20,29,18,
2024-04-30,7,1,S_P high,med,,,,,dead
2024-04-30,7,2,S_s high,,19,18,18,22,
2024-04-30,7,3,A high,,21,23,56,25,
2024-04-30,7,4,S_P low,phyto,16,16,33,22,
2024-04-30,7,4,S_P low,big,30,31,65,76,
2024-04-30,7,4,S_P low,med,22,21,46,31,
2024-04-30,7,4,S_P low,med,15,15,17,28,
2024-04-30,7,4,S_P low,med,25,21,34,31,
2024-04-30,7,4,S_P low,med,14,15,25,26,
2024-04-30,7,4,S_P low,med,,,,,dead
2024-04-30,7,5,S_s low,phyto,28,26,46,55,
2024-04-30,7,6,control,phyto,29,30,75,21,
2024-04-30,7,7,A low,phyto,18,18,36,12,
2024-04-30,7,8,control,phyto,19,21,32,12,
2024-04-30,7,9,S_P high,big,28,26,62,30,* no phytometer
2024-04-30,7,9,S_P high,big,28,24,44,29,
2024-04-30,7,9,S_P high,med,23,20,36,13,
2024-04-30,7,9,S_P high,med,12,15,26,33,
2024-04-30,7,9,S_P high,med,8,7,6,22,
2024-04-30,7,9,S_P high,med,18,20,33,17,
2024-04-30,7,9,S_P high,med,23,25,40,17,
2024-04-30,7,9,S_P high,med,18,16,34,23,
2024-04-30,7,9,S_P high,med,20,21,28,19,
2024-04-30,7,9,S_P high,med,15,13,38,27,
2024-04-30,7,9,S_P high,med,20,22,31,20,
2024-04-30,7,9,S_P high,med,21,22,38,45,
2024-04-30,7,10,S_P high,big,27,23,38,22,* no phytometer
2024-04-30,7,10,S_P high,big,33,25,72,29,
2024-04-30,7,10,S_P high,med,17,14,28,17,
2024-04-30,7,10,S_P high,med,13,14,18,17,
2024-04-30,7,10,S_P high,med,27,15,30,52,
2024-04-30,7,10,S_P high,med,17,18,24,10,
2024-04-30,7,10,S_P high,med,19,18,25,26,
2024-04-30,7,10,S_P high,med,20,15,14,25,
2024-04-30,7,10,S_P high,med,15,14,12,21,
2024-04-30,7,10,S_P high,med,14,12,8,9,
2024-04-30,7,10,S_P high,med,13,17,21,48,
2024-04-30,7,10,S_P high,med,23,21,25,20,
2024-04-30,8,1,control,phyto,20,18,19,9,
2024-04-30,8,2,S_P high,phyto,14,11,8,12,
2024-04-30,8,2,S_P high,big,21,22,35,26,
2024-04-30,8,2,S_P high,big,20,19,34,16,
2024-04-30,8,2,S_P high,med,15,18,21,21,
2024-04-30,8,2,S_P high,med,9,8,5,20,
2024-04-30,8,2,S_P high,med,13,13,13,18,
2024-04-30,8,2,S_P high,med,17,17,19,28,
2024-04-30,8,2,S_P high,med,14,12,12,19,
2024-04-30,8,2,S_P high,med,9,7,15,12,
2024-04-30,8,2,S_P high,med,18,14,12,14,
2024-04-30,8,2,S_P high,med,19,16,12,28,
2024-04-30,8,2,S_P high,med,14,12,2,18,
2024-04-30,8,2,S_P high,med,13,14,4,17,
2024-04-30,8,3,A high,phyto,16,18,1,im,
2024-04-30,8,4,control,phyto,21,20,25,17,
2024-04-30,8,5,S_s low,phyto,25,20,25,12,
2024-04-30,8,6,S_P low,phyto,12,10,14,14,
2024-04-30,8,6,S_P low,big,23,23,47,14,
2024-04-30,8,6,S_P low,med,19,20,33,12,
2024-04-30,8,6,S_P low,med,11,12,10,10,
2024-04-30,8,6,S_P low,med,15,17,16,12,
2024-04-30,8,6,S_P low,med,15,13,15,19,
2024-04-30,8,6,S_P low,med,7,8,5,13,
2024-04-30,8,7,S_s high,phyto,16,14,12,11,
2024-04-30,8,8,A low,phyto,26,19,12,17,
2024-04-30,8,9,S_P high,big,,,,,Gopher damage to background SP
2024-04-30,8,9,S_P high,big,,,,,unweeded?
2024-04-30,8,9,S_P high,med,,,,,dropped
2024-04-30,8,9,S_P high,med,,,,,* no phytometer
2024-04-30,8,9,S_P high,med,,,,,
2024-04-30,8,9,S_P high,med,,,,,
2024-04-30,8,9,S_P high,med,,,,,
2024-04-30,8,9,S_P high,med,,,,,
2024-04-30,8,9,S_P high,med,,,,,
2024-04-30,8,9,S_P high,med,,,,,
2024-04-30,8,9,S_P high,med,,,,,
2024-04-30,8,9,S_P high,med,,,,,
2024-04-30,8,10,S_P high,big,,,,,Gopher damage to background SP
2024-04-30,8,10,S_P high,big,,,,,unweeded?
2024-04-30,8,10,S_P high,med,,,,,dropped
2024-04-30,8,10,S_P high,med,,,,,* no phytometer
2024-04-30,8,10,S_P high,med,,,,,
2024-04-30,8,10,S_P high,med,,,,,
2024-04-30,8,10,S_P high,med,,,,,
2024-04-30,8,10,S_P high,med,,,,,
2024-04-30,8,10,S_P high,med,,,,,
2024-04-30,8,10,S_P high,med,,,,,
2024-04-30,8,10,S_P high,med,,,,,
2024-04-30,8,10,S_P high,med,,,,,
2024-04-30,9,1,A low,phyto,,,,,
2024-04-30,9,2,S_s low,phyto,,,,,
2024-04-30,9,3,A high,phyto,,,,,
2024-04-30,9,4,control,phyto,,,,,
2024-04-30,9,5,S_P high,phyto,,,,,Gopher damage to background SP
2024-04-30,9,5,S_P high,big,,,,,
2024-04-30,9,5,S_P high,big,,,,,
2024-04-30,9,5,S_P high,med,,,,,
2024-04-30,9,5,S_P high,med,,,,,
2024-04-30,9,5,S_P high,med,,,,,
2024-04-30,9,5,S_P high,med,,,,,
2024-04-30,9,5,S_P high,med,,,,,
2024-04-30,9,5,S_P high,med,,,,,
2024-04-30,9,5,S_P high,med,,,,,
2024-04-30,9,5,S_P high,med,,,,,
2024-04-30,9,5,S_P high,med,,,,,
2024-04-30,9,5,S_P high,med,,,,,
2024-04-30,9,6,S_P low,phyto,,,,,Gopher damage to background SP
2024-04-30,9,6,S_P low,big,,,,,
2024-04-30,9,6,S_P low,med,,,,,
2024-04-30,9,6,S_P low,med,,,,,
2024-04-30,9,6,S_P low,med,,,,,
2024-04-30,9,6,S_P low,med,,,,,
2024-04-30,9,6,S_P low,med,,,,,
2024-04-30,9,7,S_s high,phyto,,,,,
2024-04-30,9,8,control,phyto,,,,,
2024-04-30,9,9,S_P high,big,,,,,
2024-04-30,9,9,S_P high,big,,,,,
2024-04-30,9,9,S_P high,med,,,,,
2024-04-30,9,9,S_P high,med,,,,,
2024-04-30,9,9,S_P high,med,,,,,
2024-04-30,9,9,S_P high,med,,,,,
2024-04-30,9,9,S_P high,med,,,,,
2024-04-30,9,9,S_P high,med,,,,,
2024-04-30,9,9,S_P high,med,,,,,
2024-04-30,9,9,S_P high,med,,,,,
2024-04-30,9,9,S_P high,med,,,,,
2024-04-30,9,9,S_P high,med,,,,,
2024-04-30,9,10,S_P high,big,,,,,
2024-04-30,9,10,S_P high,big,,,,,
2024-04-30,9,10,S_P high,med,,,,,
2024-04-30,9,10,S_P high,med,,,,,
2024-04-30,9,10,S_P high,med,,,,,
2024-04-30,9,10,S_P high,med,,,,,
2024-04-30,9,10,S_P high,med,,,,,
2024-04-30,9,10,S_P high,med,,,,,
2024-04-30,9,10,S_P high,med,,,,,
2024-04-30,9,10,S_P high,med,,,,,
2024-04-30,9,10,S_P high,med,,,,,
2024-04-30,9,10,S_P high,med,,,,,
2024-05-01,10,1,S_s high,phyto,19,21,33,16,
2024-05-01,10,2,S_s low,phyto,31,26,39,26,
2024-05-01,10,3,control,phyto,15,19,9,14,
2024-05-01,10,4,S_P low,phyto,13,13,10,15,
2024-05-01,10,4,S_P low,big,20,21,9,26,
2024-05-01,10,4,S_P low,med,13,12,15,18,
2024-05-01,10,4,S_P low,med,7,10,2,7,
2024-05-01,10,4,S_P low,med,22,23,46,26,
2024-05-01,10,4,S_P low,med,17,14,2,im,
2024-05-01,10,4,S_P low,med,6,9,0,,
2024-05-01,10,5,S_P high,phyto,7,8,3,12,
2024-05-01,10,5,S_P high,big,13,11,9,16,
2024-05-01,10,5,S_P high,big,23,22,21,23,
2024-05-01,10,5,S_P high,med,10,9,5,21,
2024-05-01,10,5,S_P high,med,18,17,24,43,
2024-05-01,10,5,S_P high,med,15,18,24,59,
2024-05-01,10,5,S_P high,med,8,10,6,15,
2024-05-01,10,5,S_P high,med,8,8,6,11,
2024-05-01,10,5,S_P high,med,18,16,29,12,
2024-05-01,10,5,S_P high,med,25,22,34,35,
2024-05-01,10,5,S_P high,med,15,16,25,17,
2024-05-01,10,5,S_P high,med,24,22,38,36,
2024-05-01,10,5,S_P high,med,,,,,dead
2024-05-01,10,6,A high,phyto,20,19,26,21,
2024-05-01,10,7,control,phyto,22,23,21,27,
2024-05-01,10,8,A low,phyto,15,17,19,13,
2024-05-01,10,9,S_P high,big,11,11,2,15,Gopher damage
2024-05-01,10,9,S_P high,big,,,,,dead
2024-05-01,10,9,S_P high,med,12,13,2,im,
2024-05-01,10,9,S_P high,med,14,12,8,24,
2024-05-01,10,9,S_P high,med,24,23,28,33,
2024-05-01,10,9,S_P high,med,13,12,8,14,
2024-05-01,10,9,S_P high,med,16,15,15,16,
2024-05-01,10,9,S_P high,med,12,11,14,16,
2024-05-01,10,9,S_P high,med,,,,,dead
2024-05-01,10,9,S_P high,med,,,,,dead
2024-05-01,10,9,S_P high,med,,,,,dead
2024-05-01,10,9,S_P high,med,,,,,dead
2024-05-01,10,10,S_P high,big,20,24,63,28,Gopher damage
2024-05-01,10,10,S_P high,big,,,,,dead
2024-05-01,10,10,S_P high,med,15,16,24,20,
2024-05-01,10,10,S_P high,med,20,21,53,46,
2024-05-01,10,10,S_P high,med,15,13,26,49,
2024-05-01,10,10,S_P high,med,22,20,57,21,
2024-05-01,10,10,S_P high,med,,,,,dead
2024-05-01,10,10,S_P high,med,,,,,dead
2024-05-01,10,10,S_P high,med,,,,,dead
2024-05-01,10,10,S_P high,med,,,,,dead
2024-05-01,10,10,S_P high,med,,,,,dead
2024-05-01,10,10,S_P high,med,,,,,dead
2024-05-01,11,1,control,phyto,16,15,19,12,
2024-05-01,11,2,S_P low,phyto,11,12,11,23,
2024-05-01,11,2,S_P low,big,18,17,40,28,
2024-05-01,11,2,S_P low,med,17,18,30,30,
2024-05-01,11,2,S_P low,med,19,16,44,33,
2024-05-01,11,2,S_P low,med,14,13,9,15,
2024-05-01,11,2,S_P low,med,12,13,12,15,
2024-05-01,11,2,S_P low,med,17,16,29,23,
2024-05-01,11,3,control,phyto,20,21,34,32,
2024-05-01,11,4,S_s low,phyto,14,12,8,27,
2024-05-01,11,5,S_P high,phyto,9,11,14,20,
2024-05-01,11,5,S_P high,big,17,15,23,20,
2024-05-01,11,5,S_P high,big,20,17,28,27,
2024-05-01,11,5,S_P high,med,22,18,30,22,
2024-05-01,11,5,S_P high,med,14,15,27,25,
2024-05-01,11,5,S_P high,med,13,11,11,23,
2024-05-01,11,5,S_P high,med,12,13,21,19,
2024-05-01,11,5,S_P high,med,17,14,12,16,
2024-05-01,11,5,S_P high,med,11,10,9,21,
2024-05-01,11,5,S_P high,med,13,13,16,22,
2024-05-01,11,5,S_P high,med,14,16,8,16,
2024-05-01,11,5,S_P high,med,14,12,6,15,
2024-05-01,11,5,S_P high,med,10,13,10,16,
2024-05-01,11,6,S_s high,phyto,14,13,10,57,
2024-05-01,11,7,A low,phyto,,,,,"dead, gopher"
2024-05-01,11,8,A high,phyto,,,,,
