block,plot,bg,av,ss,sp.phyto,sp.bg,notes,date
9,6,S_P low,7,3,1,2,Gopher damage to background SP,
9,7,S_s high,5,26,0,,,
9,8,control,0,2,1,,,
9,9,S_P high,2,0,,12,,
9,10,S_P high,0,0,,12,,
9,11,S_s high,0,0,,,,
9,12,control,0,0,,,,
10,1,S_s high,1,30,1,,,
10,2,S_s low,6,21,1,,,
10,3,control,0,0,1,,,
10,4,S_P low,0,0,1,6,,
10,5,S_P high,1,0,1,11,,
10,6,A high,39,0,1,,,
10,7,control,36,0,1,,,
10,8,A low,43,1,1,,,
10,9,S_P high,1,1,,12,,
10,10,S_P high,0,0,,12,,
10,11,control,0,0,,,,
10,12,S_s high,0,0,,,,
11,1,control,1,0,1,,,
11,2,S_P low,0,2,1,6,,
11,3,control,3,2,1,,,
11,4,S_s low,0,28,1,,,
11,5,S_P high,1,0,1,12,,
11,6,S_s high,11,21,1,,,
11,7,A low,47,0,1,,,
11,8,A high,57,0,1,,,
11,9,S_P high,5,0,,11,,
11,10,S_P high,0,0,,11,,
11,11,S_s high,0,0,,,,
11,12,control,0,0,,,,
12,1,control,22,2,1,,,
12,2,A high,62,0,1,,,
12,3,S_P high,3,1,1,12,,
12,4,S_P low,3,1,1,6,,
12,5,S_s low,12,29,1,,,
12,6,A low,36,1,1,,,
12,7,control,36,1,1,,,
12,8,S_s high,3,29,1,,,
12,9,S_P high,0,0,,12,,
12,10,S_P high,0,0,,12,,
12,11,control,0,0,,,,
12,12,S_s high,0,0,,,,
13,1,S_s high,0,58,1,,,
13,2,control,0,1,1,,,
13,3,S_P low,3,0,1,6,,
13,4,control,40,1,1,,,
13,5,A low,50,1,1,,,
13,6,S_P high,9,0,1,12,,
13,7,A high,79,4,1,,,
13,8,S_s low,18,12,1,,,
13,9,S_P high,0,0,,12,,
13,10,S_P high,0,0,,12,,
13,11,S_s high,0,0,,,,
13,12,control,0,0,,,,
14,1,S_P high,0,0,1,10,,
14,2,A low,22,0,1,,,
14,3,S_P low,9,0,1,6,,
14,4,S_s low,6,17,0,,,
14,5,A high,57,0,1,,,
14,6,control,12,0,1,,,
14,7,control,24,0,1,,,
14,8,S_s high,36,6,1,,,
14,9,S_P high,6,0,,11,,
14,10,S_P high,2,0,,12,,
14,11,control,0,0,,,Spares are one plot further downhill than they should be with 1/2 m gap between them (photos,
14,12,S_s high,0,0,,,,
15,1,control,13,0,1,,,
15,2,S_s low,0,31,1,,,
15,3,S_P low,8,0,1,6,,
15,4,A low,27,1,1,,,
15,5,control,24,0,1,,,
15,6,A high,40,1,1,,,
15,7,S_P high,0,0,1,12,,
15,8,S_s high,10,26,1,,,
15,9,S_P high,1,0,,12,,
15,10,S_P high,0,0,,12,,
15,11,control,0,0,,,,
15,12,S_s high,0,0,,,,
16,1,S_s high,2,70,1,,,
16,2,control,12,2,1,,,
16,3,S_P high,0,0,1,12,,
16,4,S_P low,2,0,1,5,,
16,5,S_s low,2,21,1,,,
16,6,A high,15,3,1,,,
16,7,A low,19,1,1,,,
16,8,control,21,3,1,,,
16,9,S_P high,0,0,,12,,
16,10,S_P high,0,0,,12,,
16,11,control,0,0,,,Extra plots in different location,
16,12,S_s high,0,0,,,"Ss closer to rest of the plots, control further",
